state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Jammu and Kashmir,2013,Person,person,Worker population ratio (WPR),wpr,620.0
Jharkhand,2013,Person,person,Labour force participation rate (LFPR),lfpr,394.0
Jharkhand,2013,Person,person,Proportion Unemployed (PU),pu,19.0
Jharkhand,2013,Person,person,Worker population ratio (WPR),wpr,375.0
Karnataka,2013,Person,person,Labour force participation rate (LFPR),lfpr,505.0
Karnataka,2013,Person,person,Proportion Unemployed (PU),pu,0.0
Karnataka,2013,Person,person,Worker population ratio (WPR),wpr,505.0
Kerala,2013,Person,person,Labour force participation rate (LFPR),lfpr,383.0
Kerala,2013,Person,person,Proportion Unemployed (PU),pu,22.0
Kerala,2013,Person,person,Worker population ratio (WPR),wpr,361.0
Lakshadweep,2013,Person,person,Labour force participation rate (LFPR),lfpr,432.0
Lakshadweep,2013,Person,person,Proportion Unemployed (PU),pu,38.0
Lakshadweep,2013,Person,person,Worker population ratio (WPR),wpr,395.0
Madhya Pradesh,2013,Person,person,Labour force participation rate (LFPR),lfpr,456.0
Madhya Pradesh,2013,Person,person,Proportion Unemployed (PU),pu,4.0
Madhya Pradesh,2013,Person,person,Worker population ratio (WPR),wpr,452.0
Maharashtra,2013,Person,person,Labour force participation rate (LFPR),lfpr,504.0
Maharashtra,2013,Person,person,Proportion Unemployed (PU),pu,4.0
Maharashtra,2013,Person,person,Worker population ratio (WPR),wpr,501.0
Manipur,2013,Person,person,Labour force participation rate (LFPR),lfpr,410.0
Manipur,2013,Person,person,Proportion Unemployed (PU),pu,10.0
Manipur,2013,Person,person,Worker population ratio (WPR),wpr,400.0
Meghalaya,2013,Person,person,Labour force participation rate (LFPR),lfpr,467.0
Meghalaya,2013,Person,person,Proportion Unemployed (PU),pu,5.0
Meghalaya,2013,Person,person,Worker population ratio (WPR),wpr,462.0
Mizoram,2013,Person,person,Labour force participation rate (LFPR),lfpr,470.0
Mizoram,2013,Person,person,Proportion Unemployed (PU),pu,9.0
Mizoram,2013,Person,person,Worker population ratio (WPR),wpr,461.0
Nagaland,2013,Person,person,Labour force participation rate (LFPR),lfpr,432.0
Nagaland,2013,Person,person,Proportion Unemployed (PU),pu,47.0
Nagaland,2013,Person,person,Worker population ratio (WPR),wpr,385.0
Odisha,2013,Person,person,Labour force participation rate (LFPR),lfpr,511.0
Odisha,2013,Person,person,Proportion Unemployed (PU),pu,7.0
Odisha,2013,Person,person,Worker population ratio (WPR),wpr,504.0
Puducherry,2013,Person,person,Labour force participation rate (LFPR),lfpr,
Puducherry,2013,Person,person,Proportion Unemployed (PU),pu,
Puducherry,2013,Person,person,Worker population ratio (WPR),wpr,
Punjab,2013,Person,person,Labour force participation rate (LFPR),lfpr,292.0
Punjab,2013,Person,person,Proportion Unemployed (PU),pu,8.0
Punjab,2013,Person,person,Worker population ratio (WPR),wpr,283.0
Rajasthan,2013,Person,person,Labour force participation rate (LFPR),lfpr,457.0
Rajasthan,2013,Person,person,Proportion Unemployed (PU),pu,3.0
Rajasthan,2013,Person,person,Worker population ratio (WPR),wpr,454.0
Sikkim,2013,Person,person,Labour force participation rate (LFPR),lfpr,489.0
Sikkim,2013,Person,person,Proportion Unemployed (PU),pu,22.0
Sikkim,2013,Person,person,Worker population ratio (WPR),wpr,467.0
Tamil Nadu,2013,Person,person,Labour force participation rate (LFPR),lfpr,501.0
Tamil Nadu,2013,Person,person,Proportion Unemployed (PU),pu,2.0
Tamil Nadu,2013,Person,person,Worker population ratio (WPR),wpr,499.0
Tripura,2013,Person,person,Labour force participation rate (LFPR),lfpr,409.0
Tripura,2013,Person,person,Proportion Unemployed (PU),pu,38.0
Tripura,2013,Person,person,Worker population ratio (WPR),wpr,372.0
Uttar Pradesh,2013,Person,person,Labour force participation rate (LFPR),lfpr,414.0
Uttar Pradesh,2013,Person,person,Proportion Unemployed (PU),pu,0.0
Uttar Pradesh,2013,Person,person,Worker population ratio (WPR),wpr,414.0
Uttarakhand,2013,Person,person,Labour force participation rate (LFPR),lfpr,486.0
Uttarakhand,2013,Person,person,Proportion Unemployed (PU),pu,0.0
Uttarakhand,2013,Person,person,Worker population ratio (WPR),wpr,486.0
West Bengal,2013,Person,person,Labour force participation rate (LFPR),lfpr,410.0
West Bengal,2013,Person,person,Proportion Unemployed (PU),pu,11.0
West Bengal,2013,Person,person,Worker population ratio (WPR),wpr,399.0
